seed,tau,Group,rs,rm
3,0.5,Low-Risk,0.573170731707317,0.573170731707317
3,0.6,Overall,0.6184798807749627,0.6005961251862891
3,0.6,High-Risk,0.7944664031620553,0.782608695652174
3,0.6,Low-Risk,0.38414634146341464,0.3780487804878049
3,0.7,Overall,0.47690014903129657,0.4307004470938897
3,0.7,High-Risk,0.6600790513833992,0.6047430830039525
3,0.7,Low-Risk,0.21951219512195122,0.2073170731707317
4,0.3,Overall,0.9195230998509687,0.9344262295081968
4,0.3,High-Risk,0.9808429118773946,0.9923371647509579
4,0.3,Low-Risk,0.8159509202453987,0.8466257668711656
4,0.4,Overall,0.8554396423248882,0.849478390461997
4,0.4,High-Risk,0.9501915708812261,0.946360153256705
4,0.4,Low-Risk,0.6993865030674846,0.6871165644171779
4,0.5,Overall,0.7585692995529061,0.7421758569299552
4,0.5,High-Risk,0.8812260536398467,0.8659003831417624
4,0.5,Low-Risk,0.5460122699386503,0.5398773006134969
4,0.6,Overall,0.6035767511177347,0.5901639344262295
4,0.6,High-Risk,0.7816091954022989,0.7509578544061303
4,0.6,Low-Risk,0.2883435582822086,0.2822085889570552
4,0.7,Overall,0.45901639344262296,0.4157973174366617
4,0.7,High-Risk,0.6168582375478927,0.5517241379310345
4,0.7,Low-Risk,0.17791411042944785,0.15337423312883436
5,0.3,Overall,0.910581222056632,0.9120715350223547
5,0.3,High-Risk,0.9755244755244755,0.9790209790209791
5,0.3,Low-Risk,0.8013698630136986,0.8082191780821918
5,0.4,Overall,0.8301043219076006,0.8360655737704918
5,0.4,High-Risk,0.9475524475524476,0.9440559440559441
5,0.4,Low-Risk,0.6438356164383562,0.6712328767123288
5,0.5,Overall,0.7451564828614009,0.7332339791356185
5,0.5,High-Risk,0.8881118881118881,0.8741258741258742
5,0.5,Low-Risk,0.5547945205479452,0.5616438356164384
5,0.6,Overall,0.6199701937406855,0.5842026825633383
5,0.6,High-Risk,0.8146853146853147,0.7622377622377622
5,0.6,Low-Risk,0.3835616438356164,0.3561643835616438
5,0.7,Overall,0.46944858420268254,0.4172876304023845
5,0.7,High-Risk,0.6538461538461539,0.6083916083916084
5,0.7,Low-Risk,0.2191780821917808,0.1917808219178082
6,0.3,Overall,0.9046199701937406,0.9180327868852459
6,0.3,High-Risk,0.9629629629629629,0.9670781893004116
6,0.3,Low-Risk,0.8064516129032258,0.8258064516129032
6,0.4,Overall,0.8301043219076006,0.8301043219076006
6,0.4,High-Risk,0.9300411522633745,0.934156378600823
6,0.4,Low-Risk,0.7161290322580646,0.7032258064516129
6,0.5,Overall,0.7436661698956781,0.7332339791356185
6,0.5,High-Risk,0.897119341563786,0.8765432098765432
6,0.5,Low-Risk,0.5935483870967742,0.567741935483871
6,0.6,Overall,0.6140089418777943,0.5827123695976155
6,0.6,High-Risk,0.7695473251028807,0.7695473251028807
6,0.6,Low-Risk,0.41935483870967744,0.3741935483870968
6,0.7,Overall,0.45901639344262296,0.39940387481371087
6,0.7,High-Risk,0.6255144032921811,0.5432098765432098
6,0.7,Low-Risk,0.25161290322580643,0.22580645161290322
7,0.3,Overall,0.9284649776453056,0.940387481371088
7,0.3,High-Risk,0.9768339768339769,0.9884169884169884
7,0.3,Low-Risk,0.8851351351351351,0.8918918918918919
7,0.4,Overall,0.8464977645305514,0.8554396423248882
7,0.4,High-Risk,0.9227799227799228,0.9305019305019305
7,0.4,Low-Risk,0.7364864864864865,0.75
7,0.5,Overall,0.7526080476900149,0.7466467958271237
7,0.5,High-Risk,0.8918918918918919,0.8803088803088803
7,0.5,Low-Risk,0.5540540540540541,0.5743243243243243
7,0.6,Overall,0.61698956780924,0.5931445603576752
7,0.6,High-Risk,0.7799227799227799,0.749034749034749
7,0.6,Low-Risk,0.36486486486486486,0.38513513513513514
7,0.7,Overall,0.481371087928465,0.4187779433681073
7,0.7,High-Risk,0.6061776061776062,0.5482625482625483
7,0.7,Low-Risk,0.25,0.24324324324324326
8,0.3,Overall,0.9031296572280179,0.9225037257824144
8,0.3,High-Risk,0.975,0.9785714285714285
8,0.3,Low-Risk,0.8238993710691824,0.8679245283018868
8,0.4,Overall,0.8315946348733234,0.834575260804769
8,0.4,High-Risk,0.9392857142857143,0.9535714285714286
8,0.4,Low-Risk,0.6981132075471698,0.6918238993710691
8,0.5,Overall,0.7123695976154992,0.7317436661698957
8,0.5,High-Risk,0.8857142857142857,0.8785714285714286
8,0.5,Low-Risk,0.4968553459119497,0.559748427672956
8,0.6,Overall,0.6020864381520119,0.587183308494784
8,0.6,High-Risk,0.8107142857142857,0.8035714285714286
8,0.6,Low-Risk,0.3710691823899371,0.34591194968553457
8,0.7,Overall,0.46646795827123694,0.4262295081967213
8,0.7,High-Risk,0.6642857142857143,0.6142857142857143
8,0.7,Low-Risk,0.2389937106918239,0.22012578616352202
9,0.3,Overall,0.9120715350223547,0.9210134128166915
9,0.3,High-Risk,0.9603174603174603,0.9761904761904762
9,0.3,Low-Risk,0.8201438848920863,0.8489208633093526
9,0.4,Overall,0.819672131147541,0.8539493293591655
9,0.4,High-Risk,0.9047619047619048,0.9166666666666666
9,0.4,Low-Risk,0.6618705035971223,0.7338129496402878
9,0.5,Overall,0.7302533532041728,0.7317436661698957
9,0.5,High-Risk,0.8333333333333334,0.8492063492063492
