seed,tau,Group,rs,rm
12,0.50000000,Overall,0.69746647,0.69597615
12,0.50000000,High-Risk,0.87500000,0.87867647
12,0.50000000,Low-Risk,0.53205128,0.52564103
12,0.60000000,Overall,0.58420268,0.58122206
12,0.60000000,High-Risk,0.82352941,0.80147059
12,0.60000000,Low-Risk,0.34615385,0.33333333
12,0.70000000,Overall,0.45752608,0.44560358
12,0.70000000,High-Risk,0.71323529,0.66544118
12,0.70000000,Low-Risk,0.20512821,0.19871795
13,0.30000000,Overall,0.90312966,0.90014903
13,0.30000000,High-Risk,0.98832685,0.97665370
13,0.30000000,Low-Risk,0.79020979,0.77622378
13,0.40000000,Overall,0.82116244,0.82563338
13,0.40000000,High-Risk,0.94552529,0.94163424
13,0.40000000,Low-Risk,0.67832168,0.65734266
13,0.50000000,Overall,0.71982116,0.73174367
13,0.50000000,High-Risk,0.89494163,0.89494163
13,0.50000000,Low-Risk,0.51048951,0.49650350
13,0.60000000,Overall,0.60357675,0.60357675
13,0.60000000,High-Risk,0.78988327,0.79377432
13,0.60000000,Low-Risk,0.35664336,0.34965035
13,0.70000000,Overall,0.47690015,0.46944858
13,0.70000000,High-Risk,0.67315175,0.67315175
13,0.70000000,Low-Risk,0.17482517,0.16783217
14,0.30000000,Overall,0.90312966,0.89865872
14,0.30000000,High-Risk,0.96341463,0.96341463
14,0.30000000,Low-Risk,0.81333333,0.80000000
14,0.40000000,Overall,0.82414307,0.81818182
14,0.40000000,High-Risk,0.93495935,0.93495935
14,0.40000000,Low-Risk,0.68000000,0.68000000
14,0.50000000,Overall,0.73919523,0.73770492
14,0.50000000,High-Risk,0.89430894,0.87804878
14,0.50000000,Low-Risk,0.53333333,0.54000000
14,0.60000000,Overall,0.61698957,0.60357675
14,0.60000000,High-Risk,0.79268293,0.77642276
14,0.60000000,Low-Risk,0.36666667,0.38666667
14,0.70000000,Overall,0.47690015,0.47242921
14,0.70000000,High-Risk,0.65040650,0.65447154
14,0.70000000,Low-Risk,0.20666667,0.20666667
15,0.30000000,Overall,0.90611028,0.90611028
15,0.30000000,High-Risk,0.96819788,0.97173145
15,0.30000000,Low-Risk,0.84353741,0.82993197
15,0.40000000,Overall,0.83308495,0.83457526
15,0.40000000,High-Risk,0.92932862,0.92932862
15,0.40000000,Low-Risk,0.73469388,0.72789116
15,0.50000000,Overall,0.73025335,0.73025335
15,0.50000000,High-Risk,0.86925795,0.86572438
15,0.50000000,Low-Risk,0.58503401,0.57142857
15,0.60000000,Overall,0.61400894,0.60357675
15,0.60000000,High-Risk,0.77385159,0.76678445
15,0.60000000,Low-Risk,0.39455782,0.40136054
15,0.70000000,Overall,0.46497765,0.45752608
15,0.70000000,High-Risk,0.63604240,0.63604240
15,0.70000000,Low-Risk,0.25170068,0.24489796
16,0.30000000,Overall,0.90909091,0.90760060
16,0.30000000,High-Risk,0.97966102,0.96949153
16,0.30000000,Low-Risk,0.83018868,0.83647799
16,0.40000000,Overall,0.83308495,0.83606557
16,0.40000000,High-Risk,0.93220339,0.93220339
16,0.40000000,Low-Risk,0.69811321,0.72327044
16,0.50000000,Overall,0.75409836,0.74962742
16,0.50000000,High-Risk,0.87796610,0.87118644
16,0.50000000,Low-Risk,0.59119497,0.59748428
16,0.60000000,Overall,0.62742176,0.61997019
16,0.60000000,High-Risk,0.81016949,0.80000000
16,0.60000000,Low-Risk,0.39622642,0.38364780
16,0.70000000,Overall,0.47690015,0.46348733
16,0.70000000,High-Risk,0.67796610,0.65084746
16,0.70000000,Low-Risk,0.23270440,0.21383648
17,0.30000000,Overall,0.88375559,0.88673621
17,0.30000000,High-Risk,0.97590361,0.97590361
17,0.30000000,Low-Risk,0.82236842,0.83552632
17,0.40000000,Overall,0.80029806,0.80476900
17,0.40000000,High-Risk,0.93975904,0.93975904
17,0.40000000,Low-Risk,0.69078947,0.69736842
17,0.50000000,Overall,0.70789866,0.70938897
17,0.50000000,High-Risk,0.87550201,0.86345382
17,0.50000000,Low-Risk,0.55921053,0.57236842
17,0.60000000,Overall,0.61102832,0.62742176
17,0.60000000,High-Risk,0.78313253,0.80321285
17,0.60000000,Low-Risk,0.44078947,0.44736842
17,0.70000000,Overall,0.47988077,0.47540984
17,0.70000000,High-Risk,0.66666667,0.65461847
17,0.70000000,Low-Risk,0.28947368,0.27631579
18,0.30000000,Overall,0.90312966,0.91803279
18,0.30000000,High-Risk,0.97647059,0.98431373
18,0.30000000,Low-Risk,0.81428571,0.83571429
18,0.40000000,Overall,0.83010432,0.83457526
18,0.40000000,High-Risk,0.94117647,0.92941176
18,0.40000000,Low-Risk,0.67142857,0.69285714
18,0.50000000,Overall,0.74068554,0.74813711
18,0.50000000,High-Risk,0.90196078,0.89411765
18,0.50000000,Low-Risk,0.48571429,0.50714286
