seed,Group,Model,ROC,PR,Rec,F1
8,Clear,M,0.8725424672793093,0.8880659465922967,0.8253968253968254,0.8489795918367347
9,Marginal,S,0.6312223200190006,0.6598738721273085,0.5892255892255892,0.6205673758865248
9,Marginal,M,0.5949257443033377,0.6347917401074239,0.5959595959595959,0.6082474226804123
9,Clear,S,0.8752941176470588,0.8883934061301535,0.8422459893048129,0.8548168249660787
9,Clear,M,0.8709358288770054,0.8811839197930811,0.839572192513369,0.8521031207598372
10,Marginal,S,0.6819496076001653,0.6846159538469045,0.6171003717472119,0.649706457925636
10,Marginal,M,0.6626022304832714,0.6507964701447485,0.6356877323420075,0.6501901140684411
10,Clear,S,0.8746142704200517,0.8752013367355898,0.8407960199004975,0.8492462311557789
10,Clear,M,0.8569809181938409,0.8573849791161465,0.8407960199004975,0.8492462311557789
11,Marginal,S,0.6270808561236623,0.616312207564247,0.6015325670498084,0.6193293885601578
11,Marginal,M,0.603729026291452,0.6111665870753022,0.6206896551724138,0.6183206106870229
11,Clear,S,0.8992817112637145,0.9088605466778585,0.824390243902439,0.8622448979591837
11,Clear,M,0.8956113347541242,0.9079836030101929,0.8292682926829268,0.8651399491094147
12,Marginal,S,0.6485689349023385,0.6981164380480201,0.540268456375839,0.6052631578947368
12,Marginal,M,0.6043579017064435,0.642065301822027,0.49328859060402686,0.56
12,Clear,S,0.8777125803024939,0.880976247991301,0.8230563002680965,0.8387978142076503
12,Clear,M,0.8727131704520547,0.8740637252438002,0.8230563002680965,0.8387978142076503
13,Marginal,S,0.5790431288168845,0.6149431533893353,0.5699300699300699,0.5970695970695971
13,Marginal,M,0.5710375597253426,0.6271659946265354,0.5909090909090909,0.609009009009009
13,Clear,S,0.876168831168831,0.8974375990965249,0.8311688311688312,0.8398950131233596
13,Clear,M,0.873336038961039,0.890873796787391,0.8311688311688312,0.8409986859395532
14,Marginal,S,0.6256363636363638,0.6243550945438067,0.6153846153846154,0.6342342342342342
