seed,Group,Model,ROC,PR,Rec,F1
38,Clear,M,0.92338960,0.92898783,0.84636872,0.88081395
39,Marginal,S,0.68102380,0.69420492,0.61056106,0.64912281
39,Marginal,M,0.67394967,0.70915527,0.62046205,0.64827586
39,Clear,S,0.92045373,0.91846491,0.89130435,0.89495225
39,Clear,M,0.92322476,0.91918208,0.89130435,0.89495225
40,Marginal,S,0.66608560,0.67994194,0.60763889,0.63176895
40,Marginal,M,0.66130952,0.67473615,0.61111111,0.62857143
40,Clear,S,0.89041881,0.90558392,0.84073107,0.86675639
40,Clear,M,0.89035707,0.90149551,0.84073107,0.86559140
41,Marginal,S,0.62730672,0.64148031,0.54651163,0.58750000
41,Marginal,M,0.64167867,0.66269196,0.56201550,0.59917355
41,Clear,S,0.86811945,0.88773017,0.84019370,0.84944920
41,Clear,M,0.87065606,0.88876384,0.84019370,0.84841076
42,Marginal,S,0.65442289,0.67928433,0.58766234,0.62521589
42,Marginal,M,0.66079904,0.69161046,0.58116883,0.62369338
42,Clear,S,0.89460923,0.91349436,0.80716253,0.85547445
42,Clear,M,0.89038266,0.90950782,0.80991736,0.85714286
43,Marginal,S,0.66449318,0.67442177,0.63265306,0.65840708
43,Marginal,M,0.65913004,0.66945904,0.60544218,0.63799283
43,Clear,S,0.87317418,0.88950200,0.85941645,0.84485007
43,Clear,M,0.87727675,0.89058941,0.85941645,0.84485007
44,Marginal,S,0.66870827,0.67202367,0.64930556,0.67025090
44,Marginal,M,0.66346268,0.68288163,0.63541667,0.65827338
44,Clear,S,0.89506121,0.90357043,0.87467363,0.87467363
44,Clear,M,0.89198400,0.90173033,0.87467363,0.87467363
45,Marginal,S,0.67490660,0.71013196,0.62671233,0.66064982
45,Marginal,M,0.65871731,0.68424359,0.60616438,0.64363636
45,Clear,S,0.85895824,0.86955118,0.80738786,0.82814614
45,Clear,M,0.86362702,0.87194336,0.80738786,0.82814614
46,Marginal,S,0.64677102,0.68866303,0.59424920,0.63050847
46,Marginal,M,0.64528721,0.69852836,0.60702875,0.63333333
46,Clear,S,0.87765918,0.88193896,0.86312849,0.85359116
46,Clear,M,0.87838063,0.87936478,0.86312849,0.85359116
47,Marginal,S,0.64004761,0.66785739,0.58085809,0.62300885
47,Marginal,M,0.64736515,0.69607665,0.58085809,0.62081129
47,Clear,S,0.88343581,0.88951951,0.85054348,0.85054348
47,Clear,M,0.88048053,0.88900866,0.85054348,0.85054348
48,Marginal,S,0.66719409,0.72884054,0.61075949,0.64873950
48,Marginal,M,0.66028203,0.72210198,0.59810127,0.63743676
48,Clear,S,0.88834991,0.89536905,0.80000000,0.84272997
48,Clear,M,0.88848490,0.89667343,0.80000000,0.84272997
49,Marginal,S,0.67058875,0.67441494,0.65034965,0.67027027
49,Marginal,M,0.67951861,0.68491100,0.65734266,0.67262970
49,Clear,S,0.88423377,0.89765887,0.84935065,0.85602094
49,Clear,M,0.88203463,0.89313531,0.84935065,0.85602094
50,Marginal,S,0.68234047,0.68313391,0.64583333,0.66074600
50,Marginal,M,0.67854752,0.67161027,0.62152778,0.64504505
50,Clear,S,0.88632462,0.90743944,0.86684073,0.86797386
50,Clear,M,0.89573125,0.91340099,0.86684073,0.86684073
