seed,Model,ROC,PR,Rec,F1
29,M,0.8075843431741737,0.8304437120564743,0.7317436661698957,0.7524904214559387
30,S,0.8185840098509412,0.8485434567126435,0.7049180327868853,0.7431264728986646
30,M,0.8010087848577592,0.826043547496343,0.7123695976154992,0.7416602017067494
31,S,0.8211624441132638,0.8508555675016775,0.7272727272727273,0.7548337200309359
31,M,0.807212453617108,0.8382828730907701,0.7242921013412816,0.7465437788018433
32,S,0.8294376754423419,0.8473104013287113,0.7332339791356185,0.7639751552795031
32,M,0.8179394012853604,0.8423270038515939,0.7466467958271237,0.7643020594965675
33,S,0.8282834404467082,0.8528802034608459,0.7317436661698957,0.764797507788162
33,M,0.8028296663186515,0.8302885817778215,0.7451564828614009,0.75642965204236
34,S,0.8306442504497108,0.8621216286350456,0.7272727272727273,0.7536679536679537
34,M,0.8205508923972001,0.8521354343026109,0.7436661698956781,0.7595129375951294
35,S,0.8296415260143633,0.8569110931094583,0.7451564828614009,0.7686395080707148
35,M,0.808157328565801,0.8433437833282813,0.7257824143070045,0.7423780487804879
36,S,0.8125759274512343,0.8329214498125627,0.7421758569299552,0.756838905775076
36,M,0.80664773243786,0.826735108471351,0.7511177347242921,0.7533632286995515
37,S,0.8209888956532998,0.8498310498347188,0.7272727272727273,0.7536679536679537
37,M,0.8076614758230467,0.8366807536098884,0.7317436661698957,0.7519142419601837
38,S,0.8441727661145255,0.8695997611864168,0.7466467958271237,0.7731481481481481
38,M,0.8271539980882122,0.8535721597425718,0.7451564828614009,0.7698229407236336
39,S,0.8553873023131531,0.869163644666828,0.7645305514157973,0.7874136607828089
39,M,0.8417678803121669,0.858163134646524,0.7704918032786885,0.781557067271353
40,S,0.8295561291531109,0.8538753898748994,0.7406855439642325,0.7663839629915189
40,M,0.8149229637669382,0.8402430636823208,0.7451564828614009,0.7633587786259542
41,S,0.8112729366327742,0.8380011528745227,0.7272727272727273,0.7525057825751735
41,M,0.7945379065648149,0.8199648272008213,0.7377049180327869,0.7545731707317073
42,S,0.8235976320276797,0.8552134759976884,0.706408345752608,0.75
42,M,0.8134657076507322,0.8442240490782442,0.7034277198211625,0.7444794952681388
43,S,0.8063612397420464,0.8312966573337993,0.7600596125186289,0.7657657657657657
43,M,0.7986231822176187,0.824136782545135,0.7391952309985097,0.7526555386949925
44,S,0.8357680621248392,0.8545498510482586,0.7779433681073026,0.7885196374622356
44,M,0.8275451708074961,0.8482379589871989,0.7779433681073026,0.782608695652174
45,S,0.8075237389500594,0.8280955199332374,0.7287630402384501,0.7563805104408353
45,M,0.7956673489233108,0.8188997734392767,0.7198211624441133,0.7494181536074477
46,S,0.8093639035731699,0.8279625131770544,0.7377049180327869,0.7534246575342466
46,M,0.7939704306481071,0.8080673025442788,0.7466467958271237,0.7539503386004515
47,S,0.8087192950075893,0.8300124305636228,0.7287630402384501,0.7517294388931591
47,M,0.7960640311175144,0.8200032924481433,0.7034277198211625,0.7340590979782271
48,S,0.8247105459614172,0.8479273965561671,0.7108792846497765,0.75177304964539
48,M,0.8088349939808986,0.8343174267968159,0.6900149031296572,0.7320158102766798
49,S,0.8211459156885053,0.8431703569852862,0.7645305514157973,0.7778620166793025
49,M,0.8075898526490932,0.8282811496949213,0.7526080476900149,0.7611152976639035
50,S,0.8275754729195534,0.8528263433024972,0.7719821162444114,0.7801204819277109
50,M,0.8214627104963761,0.8462487490232553,0.7779433681073026,0.7802690582959642
