seed,tau,Group,rs,rm
12,0.7,Overall,0.45752608047690013,0.3979135618479881
12,0.7,High-Risk,0.7132352941176471,0.6029411764705882
12,0.7,Low-Risk,0.20512820512820512,0.14743589743589744
13,0.3,Overall,0.9031296572280179,0.9225037257824144
13,0.3,High-Risk,0.9883268482490273,0.9922178988326849
13,0.3,Low-Risk,0.7902097902097902,0.8391608391608392
13,0.4,Overall,0.8211624441132638,0.842026825633383
13,0.4,High-Risk,0.9455252918287937,0.9649805447470817
13,0.4,Low-Risk,0.6783216783216783,0.7132867132867133
13,0.5,Overall,0.7198211624441133,0.7213114754098361
13,0.5,High-Risk,0.8949416342412452,0.8793774319066148
13,0.5,Low-Risk,0.5104895104895105,0.5384615384615384
13,0.6,Overall,0.6035767511177347,0.5767511177347243
13,0.6,High-Risk,0.7898832684824902,0.7665369649805448
13,0.6,Low-Risk,0.35664335664335667,0.3356643356643357
13,0.7,Overall,0.47690014903129657,0.4143070044709389
13,0.7,High-Risk,0.6731517509727627,0.6070038910505836
13,0.7,Low-Risk,0.17482517482517482,0.15384615384615385
14,0.3,Overall,0.9031296572280179,0.9135618479880775
14,0.3,High-Risk,0.9634146341463414,0.9715447154471545
14,0.3,Low-Risk,0.8133333333333334,0.8466666666666667
14,0.4,Overall,0.8241430700447094,0.8435171385991058
14,0.4,High-Risk,0.9349593495934959,0.9512195121951219
14,0.4,Low-Risk,0.68,0.72
14,0.5,Overall,0.7391952309985097,0.7347242921013413
14,0.5,High-Risk,0.8943089430894309,0.8699186991869918
14,0.5,Low-Risk,0.5333333333333333,0.56
14,0.6,Overall,0.61698956780924,0.5886736214605067
14,0.6,High-Risk,0.7926829268292683,0.7439024390243902
14,0.6,Low-Risk,0.36666666666666664,0.38666666666666666
14,0.7,Overall,0.47690014903129657,0.4217585692995529
14,0.7,High-Risk,0.6504065040650406,0.5691056910569106
14,0.7,Low-Risk,0.20666666666666667,0.19333333333333333
15,0.3,Overall,0.9061102831594635,0.9090909090909091
15,0.3,High-Risk,0.9681978798586572,0.9823321554770318
15,0.3,Low-Risk,0.8435374149659864,0.8639455782312925
15,0.4,Overall,0.8330849478390462,0.842026825633383
15,0.4,High-Risk,0.9293286219081273,0.9434628975265018
15,0.4,Low-Risk,0.7346938775510204,0.7482993197278912
15,0.5,Overall,0.7302533532041728,0.7406855439642325
15,0.5,High-Risk,0.8692579505300353,0.8939929328621908
15,0.5,Low-Risk,0.5850340136054422,0.6054421768707483
15,0.6,Overall,0.6140089418777943,0.5842026825633383
15,0.6,High-Risk,0.773851590106007,0.7773851590106007
15,0.6,Low-Risk,0.3945578231292517,0.3945578231292517
15,0.7,Overall,0.46497764530551416,0.4172876304023845
15,0.7,High-Risk,0.6360424028268551,0.6113074204946997
15,0.7,Low-Risk,0.25170068027210885,0.2108843537414966
16,0.3,Overall,0.9090909090909091,0.9195230998509687
16,0.3,High-Risk,0.9796610169491525,0.9864406779661017
16,0.3,Low-Risk,0.8301886792452831,0.8490566037735849
16,0.4,Overall,0.8330849478390462,0.849478390461997
16,0.4,High-Risk,0.9322033898305084,0.9322033898305084
16,0.4,Low-Risk,0.6981132075471698,0.7358490566037735
16,0.5,Overall,0.7540983606557377,0.7317436661698957
16,0.5,High-Risk,0.8779661016949153,0.864406779661017
16,0.5,Low-Risk,0.5911949685534591,0.5471698113207547
16,0.6,Overall,0.6274217585692996,0.587183308494784
16,0.6,High-Risk,0.8101694915254237,0.7627118644067796
16,0.6,Low-Risk,0.39622641509433965,0.3710691823899371
16,0.7,Overall,0.47690014903129657,0.4098360655737705
16,0.7,High-Risk,0.6779661016949152,0.576271186440678
16,0.7,Low-Risk,0.23270440251572327,0.22012578616352202
17,0.3,Overall,0.8837555886736215,0.9239940387481371
17,0.3,High-Risk,0.9759036144578314,0.9879518072289156
17,0.3,Low-Risk,0.8223684210526315,0.9013157894736842
17,0.4,Overall,0.8002980625931445,0.827123695976155
17,0.4,High-Risk,0.9397590361445783,0.9558232931726908
17,0.4,Low-Risk,0.6907894736842105,0.743421052631579
