seed,tau,Group,rs,rm
30,0.7,Overall,0.46795827123695977,0.4232488822652757
30,0.7,High-Risk,0.6381322957198443,0.5642023346303502
30,0.7,Low-Risk,0.2119205298013245,0.1986754966887417
31,0.3,Overall,0.9061102831594635,0.9269746646795827
31,0.3,High-Risk,0.9609375,0.98828125
31,0.3,Low-Risk,0.8013698630136986,0.8287671232876712
31,0.4,Overall,0.8181818181818182,0.8524590163934426
31,0.4,High-Risk,0.9140625,0.94140625
31,0.4,Low-Risk,0.6575342465753424,0.7123287671232876
31,0.5,Overall,0.7272727272727273,0.7302533532041728
31,0.5,High-Risk,0.8671875,0.890625
31,0.5,Low-Risk,0.5068493150684932,0.5136986301369864
31,0.6,Overall,0.6274217585692996,0.5931445603576752
31,0.6,High-Risk,0.79296875,0.78125
31,0.6,Low-Risk,0.3561643835616438,0.3356164383561644
31,0.7,Overall,0.5081967213114754,0.4232488822652757
31,0.7,High-Risk,0.66796875,0.59375
31,0.7,Low-Risk,0.2191780821917808,0.1643835616438356
32,0.3,Overall,0.9165424739195231,0.9433681073025335
32,0.3,High-Risk,0.9688715953307393,0.9844357976653697
32,0.3,Low-Risk,0.8451612903225807,0.9032258064516129
32,0.4,Overall,0.842026825633383,0.8599105812220567
32,0.4,High-Risk,0.9377431906614786,0.9416342412451362
32,0.4,Low-Risk,0.7161290322580646,0.7419354838709677
32,0.5,Overall,0.7332339791356185,0.7347242921013413
32,0.5,High-Risk,0.8638132295719845,0.867704280155642
32,0.5,Low-Risk,0.535483870967742,0.5483870967741935
32,0.6,Overall,0.6140089418777943,0.5856929955290611
32,0.6,High-Risk,0.7782101167315175,0.7392996108949417
