seed,design,Group,Model,ROC,Rec
21,FOLD,Clear,S,0.89186883,0.84438776
21,FOLD,Clear,M,0.88807609,0.84693878
22,FULL,Marginal,S,0.65523366,0.60489510
22,FULL,Marginal,M,0.66755467,0.64685315
22,FULL,Clear,S,0.88496832,0.82597403
22,FULL,Clear,M,0.88546263,0.82597403
22,FOLD,Marginal,S,0.65523366,0.60489510
22,FOLD,Marginal,M,0.64427239,0.64335664
22,FOLD,Clear,S,0.88497731,0.82597403
22,FOLD,Clear,M,0.88880600,0.82597403
23,FULL,Marginal,S,0.64924984,0.63957597
23,FULL,Marginal,M,0.64374674,0.61484099
23,FULL,Clear,S,0.90072547,0.87371134
23,FULL,Clear,M,0.90230484,0.87371134
23,FOLD,Marginal,S,0.64924984,0.63957597
23,FOLD,Marginal,M,0.63974975,0.62544170
23,FOLD,Clear,S,0.90072547,0.87371134
23,FOLD,Clear,M,0.90353709,0.87371134
24,FULL,Marginal,S,0.60850532,0.56794425
24,FULL,Marginal,M,0.59197713,0.56097561
24,FULL,Clear,S,0.87402450,0.81770833
24,FULL,Clear,M,0.87503393,0.81510417
24,FOLD,Marginal,S,0.60850532,0.56794425
24,FOLD,Marginal,M,0.59502963,0.55749129
24,FOLD,Clear,S,0.87402450,0.81770833
24,FOLD,Clear,M,0.87752782,0.81770833
25,FULL,Marginal,S,0.68792363,0.58823529
25,FULL,Marginal,M,0.65370068,0.61397059
25,FULL,Clear,S,0.88704984,0.84210526
25,FULL,Clear,M,0.87581370,0.84210526
25,FOLD,Marginal,S,0.68792363,0.58823529
25,FOLD,Marginal,M,0.65164306,0.60294118
25,FOLD,Clear,S,0.88704984,0.84210526
25,FOLD,Clear,M,0.88232326,0.84210526
26,FULL,Marginal,S,0.66414973,0.57966102
26,FULL,Marginal,M,0.65685597,0.60000000
26,FULL,Clear,S,0.89473727,0.83244681
26,FULL,Clear,M,0.88946647,0.83244681
26,FOLD,Marginal,S,0.66414973,0.57966102
26,FOLD,Marginal,M,0.66361957,0.61694915
26,FOLD,Clear,S,0.89473727,0.83244681
26,FOLD,Clear,M,0.89960509,0.83510638
27,FULL,Marginal,S,0.65898184,0.61290323
27,FULL,Marginal,M,0.64869996,0.63440860
27,FULL,Clear,S,0.88566410,0.83928571
27,FULL,Clear,M,0.87692372,0.83928571
27,FOLD,Marginal,S,0.65898184,0.61290323
27,FOLD,Marginal,M,0.64461454,0.59856631
27,FOLD,Clear,S,0.88566410,0.83928571
27,FOLD,Clear,M,0.87912345,0.84183673
28,FULL,Marginal,S,0.66704008,0.61812298
