seed,design,Group,fs,fm
47,FULL,Low-Risk,74,74
47,FOLD,Overall,182,183
47,FOLD,High-Risk,30,30
47,FOLD,Low-Risk,74,66
48,FULL,Overall,194,198
48,FULL,High-Risk,40,42
48,FULL,Low-Risk,74,72
48,FOLD,Overall,194,189
48,FOLD,High-Risk,40,40
48,FOLD,Low-Risk,74,70
49,FULL,Overall,158,162
49,FULL,High-Risk,31,27
49,FULL,Low-Risk,68,73
49,FOLD,Overall,158,158
49,FOLD,High-Risk,31,28
49,FOLD,Low-Risk,68,66
50,FULL,Overall,153,143
50,FULL,High-Risk,34,32
50,FULL,Low-Risk,60,56
50,FOLD,Overall,153,156
50,FOLD,High-Risk,34,33
50,FOLD,Low-Risk,60,64
