seed,Group,Model,ROC,PR,Rec,F1
10,Clear,S,0.8746142704200517,0.8752013367355898,0.8407960199004975,0.8492462311557789
10,Clear,M,0.8653882486302665,0.8698365576315767,0.8407960199004975,0.848180677540778
11,Marginal,S,0.6277414453692695,0.6165114665113614,0.6015325670498084,0.6193293885601578
11,Marginal,M,0.5870656625710133,0.5784936140981864,0.6053639846743295,0.5962264150943396
11,Clear,S,0.8992817112637145,0.9088605466778585,0.824390243902439,0.8622448979591837
11,Clear,M,0.8953903228352671,0.9108254380985665,0.8268292682926829,0.8636942675159236
12,Marginal,S,0.6485689349023385,0.6981164380480201,0.540268456375839,0.6052631578947368
12,Marginal,M,0.5638486772805249,0.610525193861623,0.5167785234899329,0.5661764705882353
12,Clear,S,0.8777125803024939,0.880976247991301,0.8230563002680965,0.8387978142076503
12,Clear,M,0.8657156828030418,0.8684192658809577,0.8230563002680965,0.8353741496598639
13,Marginal,S,0.5790431288168845,0.6149431533893353,0.5699300699300699,0.5970695970695971
13,Marginal,M,0.5609277600227827,0.6031593503930981,0.5769230769230769,0.5892857142857143
13,Clear,S,0.8762012987012986,0.8974661321450117,0.8311688311688312,0.8398950131233596
13,Clear,M,0.8703246753246754,0.8929077370422115,0.8285714285714286,0.8394736842105263
14,Marginal,S,0.6256363636363638,0.6243550945438067,0.6153846153846154,0.6342342342342342
14,Marginal,M,0.5971748251748252,0.6064902390143379,0.6013986013986014,0.6088495575221239
14,Clear,S,0.870995670995671,0.8840466250468072,0.8311688311688312,0.845442536327609
14,Clear,M,0.8603829160530192,0.863171392182283,0.8337662337662337,0.8469656992084432
15,Marginal,S,0.644532633069751,0.6661953465234824,0.6013513513513513,0.6402877697841727
15,Marginal,M,0.6242771155434911,0.665832453960538,0.6283783783783784,0.6391752577319587
15,Clear,S,0.8822307692307693,0.8942938921785571,0.832,0.8443843031123139
15,Clear,M,0.8732222222222223,0.8873947515432453,0.8293333333333334,0.8428184281842819
16,Marginal,S,0.6816189362945648,0.7104539161872444,0.6413793103448275,0.6678635547576302
16,Marginal,M,0.6394944476914086,0.6658924315647544,0.596551724137931,0.6313868613138686
16,Clear,S,0.8865797513015791,0.8953717574108995,0.8398950131233596,0.8579088471849866
16,Clear,M,0.869291338582677,0.8751459682346056,0.8346456692913385,0.8536912751677852
17,Marginal,S,0.6463821594737686,0.6815059571535895,0.5645756457564576,0.6107784431137725
17,Marginal,M,0.6060965827049574,0.6460655305199072,0.5756457564575646,0.5853658536585366
17,Clear,S,0.8820418006430869,0.907652048942979,0.805,0.8407310704960835
17,Clear,M,0.8728536977491963,0.8852028126814422,0.805,0.8396349413298566
18,Marginal,S,0.6540806471085355,0.6361691863539777,0.5871212121212122,0.6042884990253411
18,Marginal,M,0.611855607871544,0.59677071935899,0.5681818181818182,0.5802707930367504
