row_id,success_count,credit_score,loan_amount,num_investors,interest_rate,total_count,success_rate,loan_purpose,social_insurance,months_of_service,loan_year,age,bank_loan
104,-5.1993376,0.0075274833,-5.1993376,-1.144896,1.6022103,-5.1993376,0.25360621,5.1993376,-5.1993376,0.06025574,-0.60746322,-0.57311539,-5.1993376
105,-5.1993376,-1.228354,-0.7315153,-0.44869228,0.63946185,-5.1993376,0.25360621,5.1993376,5.1993376,-5.1993376,0.18547963,-1.0230033,-5.1993376
106,-5.1993376,0.83912102,0.55253687,0.21235277,-0.26398459,-0.1422445,-0.67055744,-5.1993376,5.1993376,0.58796385,-0.60746322,-0.17527843,-5.1993376
107,1.0230033,-1.6135227,-0.7315153,-0.50492201,-0.26398459,0.29660674,1.761948,5.1993376,5.1993376,-5.1993376,-1.1694007,-0.36553148,-5.1993376
108,1.4181186,-1.0487476,0.91087287,0.78845531,-2.0431151,1.0774455,0.89765526,5.1993376,-5.1993376,0.92233022,0.69910809,1.1140325,0.27308902
109,1.0230033,-0.73808885,1.649237,0.84987354,-0.97143575,0.29660674,1.761948,5.1993376,5.1993376,-5.1993376,0.18547963,1.464186,-5.1993376
110,2.483413,-1.0487476,-1.1644437,-1.2529876,0.63946185,1.2612822,2.8778461,5.1993376,-5.1993376,1.0444088,-1.1694007,0.85167519,0.57985868
111,-5.1993376,0.98154039,-5.1993376,-0.13591068,-0.26398459,-5.1993376,0.25360621,5.1993376,5.1993376,-1.0552931,-0.21363612,0.14858402,-5.1993376
112,-5.1993376,0.69910809,1.0841952,0.71359852,-0.26398459,0.87535389,-1.7986626,-5.1993376,5.1993376,0.34948301,-1.1694007,-0.57311539,-5.1993376
113,0.51349142,0.10557959,-0.1422445,-0.23808933,-0.26398459,0.29660674,0.25360621,5.1993376,-5.1993376,0.0062728847,-0.60746322,-0.001254569,-5.1993376
114,1.0230033,0.61805886,0.55253687,0.71359852,0.63946185,1.0774455,-0.300542,-5.1993376,-5.1993376,0.53653104,-0.60746322,0.85167519,1.8774123
115,-5.1993376,-0.13591068,0.91087287,-0.44869228,-0.69112102,-0.1422445,-0.67055744,-5.1993376,-5.1993376,1.0552931,-0.21363612,0.14858402,-5.1993376
116,0.51349142,0.22648938,1.649237,0.75299744,-0.26398459,0.29660674,0.25360621,5.1993376,-5.1993376,-0.28744217,0.18547963,0.45146888,0.78162595
117,-5.1993376,0.056485615,-0.1422445,-0.29005812,-0.26398459,0.62109893,-1.5215251,5.1993376,-5.1993376,-0.28744217,0.18547963,-0.36553148,0.49213682
118,-5.1993376,-1.2053021,0.55253687,-0.72008693,-0.26398459,-5.1993376,0.25360621,5.1993376,-5.1993376,1.9558279,-1.1694007,1.464186,1.5044214
119,0.51349142,-0.10305677,0.2239158,-1.505747,1.2023467,0.29660674,0.25360621,-5.1993376,5.1993376,0.45842568,-5.1993376,-0.36553148,-5.1993376
120,-5.1993376,0.39520352,-0.1422445,-0.13591068,0.63946185,-5.1993376,0.25360621,5.1993376,5.1993376,0.22262957,0.18547963,-0.36553148,0.22415289
121,-5.1993376,0.41563423,1.2640664,1.9681651,-0.26398459,-5.1993376,0.25360621,-5.1993376,-5.1993376,0.26658359,0.18547963,-0.001254569,0.17906581
122,-5.1993376,-1.873053,0.55253687,-1.6590928,0.63946185,-0.1422445,-0.67055744,5.1993376,-5.1993376,-0.78332986,-1.1694007,-0.36553148,-5.1993376
123,1.4181186,-0.42660141,-0.1422445,-0.29005812,0.63946185,0.62109893,2.1696941,5.1993376,5.1993376,0.56132709,0.18547963,1.2339616,-5.1993376
124,1.0230033,0.11820414,-0.43348197,0.43900121,0.63946185,0.62109893,0.96142934,5.1993376,-5.1993376,0.18165198,-0.60746322,0.45146888,-5.1993376
125,-5.1993376,1.1352842,0.55253687,0.88088812,-0.26398459,0.87535389,-1.7986626,5.1993376,-5.1993376,0.324254,0.18547963,-0.001254569,1.5411019
126,-5.1993376,-1.2640664,-5.1993376,-1.505747,2.1440107,-5.1993376,0.25360621,5.1993376,5.1993376,-5.1993376,-1.1694007,0.14858402,-5.1993376
